Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.054791521,0.062849171,0.054791521,0.060162876,1031788800,0,0
1986-03-14 00:00:00-05:00,0.060162873,0.063386303,0.060162873,0.062311415,308160000,0,0
1986-03-17 00:00:00-05:00,0.062311396,0.063923419,0.062311396,0.063386284,133171200,0,0
1986-03-18 00:00:00-05:00,0.063386296,0.063923432,0.061237137,0.061774272,67766400,0,0
1986-03-19 00:00:00-05:00,0.061774243,0.062311379,0.060162838,0.060699973,47894400,0,0
1986-03-20 00:00:00-05:00,0.060699978,0.060699978,0.058551438,0.059088573,58435200,0,0
1986-03-21 00:00:00-05:00,0.059088593,0.060162864,0.056402917,0.057477187,59990400,0,0
1986-03-24 00:00:00-05:00,0.057477189,0.057477189,0.055328648,0.055865783,65289600,0,0
1986-03-25 00:00:00-05:00,0.055865782,0.056940053,0.055328647,0.056940053,32083200,0,0
1986-03-26 00:00:00-05:00,0.056940065,0.059088607,0.05640293,0.058551472,22752000,0,0
1986-03-27 00:00:00-05:00,0.058551441,0.059625711,0.058551441,0.059625711,16848000,0,0
1986-03-31 00:00:00-05:00,0.059625708,0.059625708,0.058014303,0.059088573,12873600,0,0
1986-04-01 00:00:00-05:00,0.059088607,0.059088607,0.058551472,0.058551472,11088000,0,0
1986-04-02 00:00:00-05:00,0.058551438,0.060162843,0.058551438,0.059088573,27014400,0,0
1986-04-03 00:00:00-05:00,0.059625711,0.061237117,0.059625711,0.059625711,23040000,0,0
1986-04-04 00:00:00-05:00,0.059625711,0.060162846,0.059625711,0.059625711,26582400,0,0
1986-04-07 00:00:00-05:00,0.059625743,0.060162878,0.057477201,0.058551472,16560000,0,0
1986-04-08 00:00:00-05:00,0.058551438,0.060162843,0.058551438,0.059088573,10252800,0,0
1986-04-09 00:00:00-05:00,0.059088605,0.060700011,0.059088605,0.060162876,12153600,0,0
1986-04-10 00:00:00-05:00,0.060162838,0.061237108,0.059088568,0.060699973,13881600,0,0
1986-04-11 00:00:00-05:00,0.061237137,0.062849161,0.061237137,0.061774272,17222400,0,0
1986-04-14 00:00:00-05:00,0.061774279,0.062849168,0.061774279,0.062311415,12153600,0,0
1986-04-15 00:00:00-05:00,0.062311415,0.062311415,0.060162873,0.062311415,9302400,0,0
